Full Name,Overall,Potential,Value(in Euro),Age
Samuel Umtiti,79,79,15000000,28
Denis Suárez Fernández,79,79,17500000,28
Erik Lamela,79,79,17000000,30
Luiz Felipe Ramos Marchi,79,84,23000000,25
Jadson Bardeira Cunha,78,78,17000000,22
Altay Bayındır,78,82,16000000,24
Javier Puado Díaz,78,83,21000000,24
Sofiane Diop,78,86,31500000,22
Alexander Bah,78,82,18500000,24
Jean-Clair Todibo,78,84,20500000,22
Julián Álvarez,78,86,32000000,22
Enzo Fernández,78,87,31500000,21
Alfonso Espino,78,78,12000000,30
Emerson Leite De Souza,78,82,18500000,23
Tomáš Holeš,78,78,12000000,29
Charles De Ketelaere,78,88,32000000,21
Gabriel Teodoro Martinelli Silva,78,88,31500000,21
Joey Veerman,78,83,21000000,23
Pierre Kalulu,78,85,26500000,22
Piero Hincapié,78,85,26500000,20
F. Evanilson de Lima Barbosa,78,86,32000000,22
Giorgi Mamardashvili,78,84,18500000,21
Colin Hughes,78,78,15500000,26
Ash Dixon,78,81,17000000,26
Tanaka Roberts,78,78,14000000,29
Mohamed Simakan,78,86,29500000,22
Borna Sosa,78,83,20000000,24
Jiří Pavlenka,78,78,9500000,30
Alexis Saelemaekers,78,82,20000000,23
Óscar Melendo Jiménez,78,82,20000000,24
Randal Kolo Muani,78,84,22500000,23
Amadou Haidara,78,82,20000000,24
Pedro Lomba Neto,78,85,28500000,22
Maximiliano Gómez,78,80,18000000,25
Noa Lang,78,85,28000000,23
Saša Kalajdžić,78,82,20500000,24
Guglielmo Vicario,78,82,15500000,25
Nicolás De la Cruz,78,79,16500000,25
Callum Hudson-Odoi,78,84,22500000,21
Hamed Junior Traorè,78,87,31500000,22
Junior Messias,78,78,11500000,31
Nikola Vlašić,78,83,21000000,24
Marc Guéhi,78,86,29500000,21
Eljif Elmas,78,85,28500000,22
Predrag Rajković,78,81,14000000,26
Konstantinos Mavropanos,78,83,19000000,24
Christoph Baumgartner,78,84,22500000,22
Romain Faivre,78,84,22000000,23
Samuel Gigot,78,79,13500000,28
Guillermo Maripán,78,80,14000000,28
Giovanni Simeone,78,79,17000000,26
João Paulo Dias Fernandes,78,78,14000000,29
Taras Stepanenko,78,78,9500000,32
Cristian Portugues Manzanera,78,78,13500000,30
Juan Bernat Velasco,78,78,12500000,29
Mário Rui Silva Duarte,78,78,10000000,31
Raúl Ruidíaz,78,78,12000000,31
Craig Dawson,78,78,9000000,32
Víctor Ruiz Torre,78,78,6500000,33
Roberto Pereyra,78,78,11500000,31
Mario Gaspar Pérez Martínez,78,78,10000000,31
Mats Rits,78,78,12500000,28
Marwin Hitz,78,78,2400000,34
Ben Mee,78,78,9000000,32
Aaron Cresswell,78,78,9500000,32
Giacomo Bonaventura,78,78,11000000,32
Francesco Caputo,78,78,7000000,34
Odion Ighalo,78,78,9000000,33
Mesut Özil,78,78,9000000,33
Claudio Bravo,78,78,1600000,39
Sergio Romero,78,78,1600000,35
Alassane Plea,78,78,14000000,29
Patrick Bamford,78,78,14500000,28
Jesse Lingard,78,78,14000000,29
Stole Dimitrievski,78,79,11000000,28
Maxwel Cornet,78,81,18500000,25
Aleksandar Mitrović,78,78,15000000,27
Lucas Alario,78,78,14000000,29
Emiliano Rigoni,78,78,14000000,29
Alexey Miranchuk,78,79,16500000,26
Thomas Strakosha,78,81,14000000,27
Gilberto Moraes Júnior,78,78,12500000,29
Pierluigi Gollini,78,81,14000000,27
Rubén Peña Jiménez,78,78,12000000,30
Josef Martínez,78,78,14000000,29
Marcel Halstenberg,78,78,11500000,30
Juan Fernando Quintero,78,78,14000000,29
Fernando Pacheco Flores,78,79,10500000,30
Romário Ricardo da Silva,78,78,12000000,31
Nathan Aké,78,80,15000000,27
Óliver Torres Muñoz,78,79,16000000,27
Jonas Hector,78,78,9500000,32
Joël Veltman,78,78,11500000,30
Moise Kean,78,86,32000000,22
Marcos Senesi,78,83,18500000,25
James Milner,78,78,4400000,36
Serge Aurier,78,78,12500000,29
Enzo Pérez,78,78,2800000,36
James Tavernier,78,78,12000000,30
Marco Davide Faraoni,78,78,12000000,30
Willian José da Silva,78,78,14000000,30
Pablo Maffeo Becerra,78,83,20000000,24
Ollie Watkins,78,81,18500000,26
Timothy Castagne,78,80,16000000,26
Franco Cervi,78,78,14000000,28
Enes Ünal,78,82,20000000,25
Gabriel Arias,78,78,2400000,34
Sergio Rochet,78,80,11500000,29
Valentin Rongier,78,79,16000000,27
Alexander Nübel,78,84,17500000,25
Sergio Herrera Pirón,78,79,11000000,29
Maxime Lopez,78,81,19000000,24
Karl Toko Ekambi,78,78,14000000,29
Ramy Bensebaini,78,79,15000000,27
Alex Meret,78,81,14500000,25
Duje Ćaleta-Car,78,82,17500000,25
Grzegorz Krychowiak,78,78,9500000,32
Danilo D'Ambrosio,78,78,6500000,33
Douglas Luiz Soares de Paulo,78,83,19500000,24
Mathew Ryan,78,78,9500000,30
Sebastián Driussi,78,81,18500000,26
Rafael Santos Borré,78,79,17000000,26
Saïd Benrahma,78,78,15500000,26
John Brooks,78,79,13000000,29
Alejandro Pozuelo Melero,78,78,13500000,30
André Carrillo,78,78,11500000,31
Gianluca Caprari,78,78,14500000,28
Willy Boly,78,78,9500000,31
Fernando Lucas Martins,78,78,12000000,30
Thomas Meunier,78,78,12000000,30
Marcos Rojo,78,78,9000000,32
Aïssa Mandi,78,78,11500000,30
Sebastian Rode,78,78,10000000,31
Lars Unnerstall,78,78,7500000,31
José Gómez Campaña,78,78,13500000,29
Gernot Trauner,78,78,11500000,30
Dennis Praet,78,78,14000000,28
Oriol Romeu Vidal,78,78,12000000,30
Lucas Pérez Martínez,78,78,9000000,33
Moussa Niakhaté,78,80,15500000,26
Federico Dimarco,78,83,20000000,24
Andrei Girotto,78,78,11500000,30
Daniel Castelo Podence,78,79,16500000,26
Miguel Almirón,78,78,14000000,28
Philipp Lienhart,78,80,15500000,25
Brahim Díaz,78,86,31500000,22
Exequiel Palacios,78,83,19500000,23
Jesper Karlsson,78,83,21000000,23
Fredrik Aursnes,78,79,15000000,26
Çağlar Söyüncü,78,80,15500000,26
Caio Henrique Oliveira Silva,78,82,18500000,24
Wataru Endo,78,78,13500000,29
Junya Ito,78,78,14000000,29
Nahuel Molina,78,84,21000000,24
Igor Zubeldia Elorza,78,82,17500000,25
Álvaro Odriozola Arzalluz,78,80,16000000,26
Luiz Araújo,78,78,15500000,26
José Diogo Dalot Teixeira,78,84,21000000,23
Jonathan Ikoné,78,82,20000000,24
Pablo Rosario,78,82,18000000,25
Marcus Edwards,78,84,22000000,23
Dejan Lovren,78,78,0,32
Jonathan Prazeres Conradi,78,78,16500000,22
Clément Lenglet,78,81,16000000,27
Fred Claudinei Tófoli Vilela,78,78,7000000,34
Gerson Santos da Silva,78,82,19500000,25
Frédéric Guilbert,78,79,15000000,27
Nuno Miguel Gomes dos Santos,78,78,15000000,27
Kyle Walker-Peters,78,83,19000000,25
Marcus Thuram,78,83,21500000,24
Alfonso Pedraza Sag,78,80,16000000,26
Florian Grillitsch,78,80,15500000,26
Emil Audero,78,81,14500000,25
Stefano Sensi,78,79,16500000,26
Joseph Aidoo,78,81,16500000,26
Arturo Adolfo Inálcio Dutra,78,78,16500000,22
Lukas Nmecha,78,83,21500000,23
Gérson Adriano Gutierres Serra,78,78,15000000,22
Wellingt. Edson Sabrão Rolim,78,78,5000000,34
A. Zervandro Chiamuloira Paes,78,78,14500000,22
Pedro Tofico Dourado Hermes,78,78,13500000,26
Hediselton Simão Resende,78,78,15000000,22
Alberto Marcelo Dutra Cirino,78,78,13500000,30
G. Pierre Paiva Souza,78,78,15500000,26
Dante Bonfim Costa Santos,78,78,2500000,38
Tyrone Mings,78,78,12000000,29
Kouadio Manu Koné,77,86,23500000,21
Igor Caique Coronado,77,77,10500000,29
Stanislav Kritsyuk,77,77,5500000,31
Adrien Tameze,77,77,10500000,28
Flavien Tait,77,77,10500000,29
Johan Mojica,77,77,9500000,29
Paulo Díaz,77,77,9500000,27
Carlos Izquierdoz,77,77,5000000,33
Darío Benedetto,77,77,8500000,32
Milan Borjan,77,77,0,34
Karim Rekik,77,80,12000000,27
Michy Batshuayi,77,77,11000000,28
Christoph Kramer,77,77,7500000,31
Damián Suárez,77,77,3900000,34
Pavel Kadeřábek,77,77,9000000,30
Diego Demme,77,77,9000000,30
Niklas Dorsch,77,82,14500000,24
Alfred Gomis,77,79,9000000,28
David López Silva,77,77,7000000,32
Matt Doherty,77,77,9000000,30
Mauro Icardi,77,77,10500000,29
Benjamin Lecomte,77,77,5500000,31
Cristian Tello Herrera,77,77,10000000,30
Víctor Machín Pérez,77,77,8500000,32
Nicolas Pallois,77,77,3400000,34
Alex Oxlade-Chamberlain,77,77,10500000,28
Fredrik Midtsjø,77,77,10500000,28
Jonas Svensson,77,77,9500000,29
Rodrigo Moreno Machado,77,77,8500000,31
Dan Burn,77,77,8500000,30
Ludwig Augustinsson,77,77,9500000,28
Riechedly Bazoer,77,80,14000000,25
Ivan Toney,77,79,13000000,26
Alexander Djiku,77,79,11000000,27
Issa Diop,77,82,14000000,25
Jack Harrison,77,80,14000000,25
Daniel James,77,82,16000000,24
Konstantinos Tsimikas,77,80,12500000,26
Isaac Palazón Camacho,77,77,11000000,27
Ritsu Doan,77,83,16500000,24
Alexis Vega,77,83,0,24
Matt Turner,77,80,9500000,28
Rasmus Kristensen,77,82,15000000,24
Sebastián Villa,77,78,12500000,26
Bruno Viana Willemen Da Silva,77,80,12000000,27
Gedson Carvalho Fernandes,77,81,15000000,23
Iago Amaral Borduchi,77,80,13000000,25
Zack Steffen,77,79,9500000,27
Domingos Sousa Menezes Duarte,77,80,12000000,27
Wout Faes,77,82,14500000,24
Ismaïla Sarr,77,83,16500000,24
Brais Méndez Portela,77,80,14000000,25
Giulio Maggiore,77,81,15000000,24
Saša Lukić,77,80,14000000,25
Davidson Da Luz Pereira,77,77,8500000,31
Callum McGregor,77,77,9000000,29
Dele Alli,77,80,14000000,26
Armindo Tué Na Bangna,77,77,11000000,27
Sofiane Boufal,77,77,11000000,28
Darko Lazović,77,77,8500000,31
Philipp Max,77,77,9500000,28
Florian Lejeune,77,77,7000000,31
Rafał Gikiewicz,77,77,1800000,34
Hugo Mallo Novegil,77,77,7500000,31
Burak Yılmaz,77,77,3600000,36
Milton Casco,77,77,3900000,34
Silvan Widmer,77,77,9500000,29
Ander Capa Rodríguez,77,77,9000000,30
Ihlas Bebou,77,77,11000000,28
Danilo Teodoro Soares,77,77,9000000,30
Jean-David Beauguel,77,77,10500000,30
Moses Simon,77,77,11500000,26
Andre Blake,77,77,5500000,31
Matt Targett,77,78,11500000,26
Matias Vecino,77,77,10000000,30
Jason Denayer,77,79,0,27
Yerry Mina,77,79,11000000,27
Demarai Gray,77,78,12500000,26
Andrija Živković,77,78,12500000,25
Franck Honorat,77,78,12500000,25
Mislav Oršić,77,77,10500000,29
Nico Elvedi,77,81,13000000,25
Lucas Boyé,77,80,14000000,26
Breel Embolo,77,80,14000000,25
Marvin Friedrich,77,79,11500000,26
Daniel Ceballos Fernández,77,80,14000000,25
Ruben Aguilar,77,77,9500000,29
Stefan Lainer,77,77,9500000,29
Pedro Chirivella Burgos,77,80,12500000,25
Marvin Schwäbe,77,80,10500000,27
Dyego Wilverson Ferreira Sousa,77,77,8500000,32
Joachim Andersen,77,80,12000000,26
José Manuel Reina Páez,77,77,1200000,39
Luís Carlos Almeida da Cunha,77,77,4300000,35
Germán Pezzella,77,77,7000000,31
Álvaro Negredo Sánchez,77,77,3600000,36
Roberto Soriano,77,77,8500000,31
Aitor Fernández,77,77,5500000,31
Christopher Trimmel,77,77,3200000,35
Luis Miguel Rodríguez,77,77,3600000,37
Stephan El Shaarawy,77,77,10500000,29
Pascal Groß,77,77,8500000,31
Asier Illarramendi,77,77,8500000,32
Oscar De Marcos Arana,77,77,5500000,33
Fidel Chaves de la Torre,77,77,8500000,32
Jonjo Shelvey,77,77,10000000,30
Gustavo Bou,77,77,8500000,32
Rubén Rochina Naixes,77,77,8500000,31
Matías Suárez,77,77,5000000,34
Artem Dzyuba,77,77,6500000,33
Cheikhou Kouyaté,77,77,7000000,32
Ángel Montoro Sánchez,77,77,3600000,34
Mario Balotelli,77,77,9000000,31
Cristhian Stuani,77,77,4500000,35
Moussa Sissoko,77,77,7000000,32
Diego Godín,77,77,1900000,36
Sidnei Rechel da Silva Júnior,77,77,7000000,32
Stevan Jovetić,77,77,8500000,32
Willian Borges da Silva,77,77,6500000,33
Kévin Gameiro,77,77,4500000,35
Andrés Guardado,77,77,3000000,35
Salvatore Sirigu,77,77,1200000,35
Jorge Molina Vidal,77,77,0,40
Umar Sadiq,77,82,15500000,25
Valentin Rosier,77,80,13000000,25
Taiwo Awoniyi,77,80,14500000,24
Khéphren Thuram,77,84,21500000,21
Adrià Giner Pedrosa,77,83,15500000,24
Arthur Mendonça Cabral,77,83,17000000,24
Adam Hložek,77,87,23000000,19
Alberto Moreno Pérez,77,77,9500000,29
Mohamed Camara,77,85,22500000,22
Bryan Gil Salvatierra,77,86,23500000,21
Dávid Hancko,77,85,22000000,24
Gonzalo Plata,77,86,23500000,21
Lucas Silva Melo,77,82,14500000,22
Unai Vencedor Paris,77,84,21500000,21
Max Kilman,77,83,14500000,25
Jan Maas,77,77,9000000,28
Richard Montlaur,77,77,10000000,27
Sergiño Dest,77,85,22500000,21
Jan Kuchta,77,80,14000000,25
Fábio Daniel Ferreira Vieira,77,87,23500000,22
Noni Madueke,77,86,23000000,20
Manuel Ugarte,77,85,23500000,21
Zouhair Feddal,77,77,7000000,32
Marko Livaja,77,77,11000000,28
Giovanni Reyna,77,86,23000000,19
Jordan Teze,77,84,20000000,22
Yussuf Poulsen,77,77,11000000,28
Wenderson Nascimento Galeno,77,81,15000000,24
Benoît Badiashile,77,85,22000000,21
Musa Barrow,77,83,17000000,23
Patson Daka,77,83,17000000,23
Lutsharel Geertruida,77,85,22500000,21
Andoni Gorosabel Espinosa,77,79,12000000,25
Oliver Skipp,77,84,20000000,21
Mathías Olivera,77,83,15500000,24
Davide Frattesi,77,86,23500000,22
Matteo Pessina,77,80,14000000,25
Eduardo Gabriel Aquino Cossa,77,80,14000000,25
Eric García Martret,77,84,20000000,21
Dan-Axel Zagadou,77,82,14500000,23
Merih Demiral,77,82,14500000,24
Valentin Castellanos,77,82,16000000,23
Jorge de Frutos Sebastián,77,80,14000000,25
Maxence Lacroix,77,86,22000000,22
Deniz Undav,77,80,14000000,25
Ademola Lookman,77,81,15000000,24
Mykola Shaparenko,77,85,23500000,23
Mohammed Salisu,77,85,22000000,23
Jordan Ferri,77,77,9000000,30
Willian Souza Arão da Silva,77,77,9000000,30
Hugo Duro Perales,77,84,21500000,22
Alessandro L. Baia Marques,77,77,3900000,34
Moussa Marega,77,77,9000000,31
Rob Holding,77,79,11500000,26
Benjamin Henrichs,77,80,13000000,25
Kasper Dolberg,77,81,15500000,24
Robert Lynch Sánchez,77,83,13500000,24
Rade Krunić,77,77,10500000,28
Axel Disasi,77,82,14500000,24
César Montes,77,82,0,25
Suat Serdar,77,81,14500000,25
Enzo Leandro Chissano Baia,77,77,9000000,30
Angelo Fulgini,77,80,14000000,25
Claudio Nuno Coíntra Calegari,77,77,11500000,26
Wagner Mauro Laranjo Coelho,77,77,2100000,38
Andeson Jaime Trigo Gonçalves,77,77,3900000,34
Jadson José Meireles Correia,77,77,10000000,26
Rodrigo Éder Vuarte Ruiz,77,77,9000000,30
Victorio Martin Maia Padilha Jabim,77,77,10500000,26
Danilo Manuel Vieira Espíndola,77,77,3400000,34
Murildo Kauê Cadete Teixeira,77,77,12500000,22
Sidney Adrián Pessoa Vidigal,77,77,9000000,30
Gelson Dany Batalha Martins,77,77,11000000,27
Vitor Hugo Franchescoli Souza,77,77,7000000,31
Petros Mantalos,77,77,10000000,30
Jérémie Boga,77,80,14000000,25
Anastasios Bakasetas,77,77,10500000,29
Romain Saïss,77,77,7000000,32
Adrien Thomasson,77,77,10500000,28
Hany Mukhtar,77,78,12500000,27
Fabian Schär,77,77,8500000,30
Salem Al Dawsari,77,77,10000000,30
Kevin Mbabu,77,77,10000000,27
Paulo André Rodrigues Oliveira,77,77,8500000,30
Emerson Palmieri dos Santos,77,77,10000000,27
Marius Wolf,77,77,11000000,27
Hee Chan Hwang,77,78,12500000,26
Gaetano Castrovilli,77,81,14500000,25
Jean Butez,77,80,10500000,27
Habib Diallo,77,78,12500000,27
İrfan Can Kahveci,77,78,12500000,26
Abdou Diallo,77,79,11500000,26
Kelechi Iheanacho,77,79,13500000,25
Stephy Mavididi,77,81,15000000,24
Ben Godfrey,77,85,22000000,24
Olivier Boscagli,77,82,14500000,24
Illan Meslier,77,84,18500000,22
Odsonne Edouard,76,82,12000000,24
Gabriel Jairo Aníbal Rangel,76,76,6500000,30
Simão Alvin Acunha Bardini,76,76,3500000,34
Timo Hübers,76,79,9000000,25
Joakim Mæhle,76,79,9000000,25
João Pedro Neves Filipe,76,83,15000000,23
Florentino Morris Luís,76,85,16000000,22
Evander da Silva Ferreira,76,81,11500000,24
Roland Sallai,76,77,9000000,25
Yangel Herrera,76,81,11500000,24
Akram Afif,76,78,0,25
Nuno Miguel Jerónimo Sequeira,76,76,5500000,31
Riccardo Orsolini,76,79,10000000,25
Jorge Sánchez,76,82,11000000,24
Tarik Tissoudali,76,76,7500000,29
Rodrigo Aliendro,76,76,6000000,31
Tyler Adams,76,80,10000000,23
Shoya Nakajima,76,76,8000000,27
Fernando Zampedri,76,76,3600000,34
Marko Grujić,76,79,9500000,26
Yusuf Yazıcı,76,80,10500000,25
Thomas Henry,76,76,8000000,27
James Justin,76,79,9500000,24
Romain Perraud,76,80,10000000,24
Trevoh Chalobah,76,82,11000000,22
Adilson Patrick Edrada Pereira,76,76,7000000,30
Alejandro Silva,76,76,6000000,32
Florian Müller,76,80,8500000,24
Wesley Hoedt,76,77,7000000,28
Frank Fabra,76,76,5500000,31
Diego Javier Llorente Ríos,76,77,7000000,28
Sebastián Palacios,76,76,7000000,30
Daniel Amartey,76,77,7500000,27
Frank Acheampong,76,76,7500000,28
Divock Origi,76,77,9000000,27
Antonio José Rodríguez Díaz,76,76,7000000,30
Ruben Loftus-Cheek,76,79,9500000,26
Abderrazak Hamdallah,76,76,6500000,31
Federico Di Francesco,76,76,7500000,28
Thiago Henrique Mendes Ribeiro,76,76,6500000,30
Helton Brant Aleixo Leite,76,76,4000000,31
Gustavo Cuéllar,76,76,6500000,29
Iván Marcone,76,76,5000000,32
Léo Dubois,76,76,7000000,27
Lucas Romero,76,76,6500000,28
Leonardo Sigali,76,76,2000000,35
Fabrizio Angileri,76,76,7000000,28
Lorenzo Montipò,76,80,8000000,26
Serhou Guirassy,76,79,10000000,26
Ayoze Pérez Gutiérrez,76,76,7500000,28
Robert Kenedy Nunes do Nascimento,76,77,9000000,26
Andrea Petagna,76,77,9000000,27
Youssouf Sabaly,76,76,6500000,29
Álvaro García Rivera,76,76,7500000,29
Maximilian Philipp,76,76,7500000,28
Alexander Sørloth,76,78,9500000,26
Luan Peres Petroni,76,76,7000000,27
Vanderson de Oliveira Campos,76,85,17000000,21
Christian Fassnacht,76,76,7500000,28
Germán Sánchez Barahona,76,76,2000000,35
Marco Bizot,76,76,4000000,31
Magomed Ozdoev,76,76,6500000,29
Erik Sviatchenko,76,76,6000000,30
Alejandro Fernández Iglesias,76,76,7500000,29
Domagoj Vida,76,76,3600000,33
Ross Barkley,76,76,7500000,28
Daniel Rodríguez Vázquez,76,76,3500000,34
Dedryck Boyata,76,76,5000000,31
Naïm Sliti,76,76,7500000,29
Aaron Mooy,76,76,6000000,31
Andros Townsend,76,76,7000000,30
Haris Seferović,76,76,7500000,30
Xherdan Shaqiri,76,76,7000000,30
Martin Braithwaite,76,76,6500000,31
Jaume Vicent Costa Jordá,76,76,2800000,34
Maxime Gonalons,76,76,3700000,33
Mark Uth,76,76,7000000,30
Juan Guilherme Nunes Jesus,76,76,5000000,31
Jeffrey Schlupp,76,76,7500000,29
Djibril Sidibé,76,76,6500000,29
Koray Günter,76,78,8000000,27
Luís Carlos Novo Neto,76,76,2400000,34
Xavier Mercier,76,76,6000000,32
Hendrik Van Crombrugge,76,78,6000000,29
Roque Mesa Quevedo,76,76,4600000,33
Tonny Vilhena,76,76,8000000,27
Mohamed Elyounoussi,76,76,8000000,27
Robin Knoche,76,76,6000000,30
Grégoire Defrel,76,76,6500000,31
Jérôme Roussillon,76,76,6500000,29
Stuart Armstrong,76,76,7000000,30
Jasmin Kurtić,76,76,4600000,33
Ciprian Tătărușanu,76,76,825000,36
Rasmus Falk,76,76,7000000,30
Riccardo Saponara,76,76,7000000,30
Kevin Vogt,76,76,6000000,30
Chris Wood,76,76,7500000,30
Javier Pastore,76,76,4700000,33
Óscar Romero,76,76,7500000,29
Jan Bednarek,76,80,9000000,26
Harry Wilson,76,79,10000000,25
Érick Gutiérrez,76,77,8500000,27
David Raya Martin,76,78,7000000,26
Sverrir Ingi Ingason,76,76,6500000,28
Luciano Acosta,76,76,7500000,28
Jae Sung Lee,76,76,7500000,29
Alfredo Morelos,76,78,9500000,26
Jindřich Staněk,76,79,7500000,26
Harry Winks,76,78,9000000,26
Timo Baumgartl,76,79,8500000,26
Sheraldo Becker,76,77,9000000,27
Paul Bernardoni,76,81,9000000,25
Henry Martín,76,76,0,29
Sofyan Amrabat,76,79,9000000,25
Diego Rico Salguero,76,76,6500000,29
David Brooks,76,79,10000000,24
Sebastián Blanco,76,76,3500000,34
Joseba Zaldúa Bengoetxea,76,76,6500000,30
Łukasz Skorupski,76,76,4000000,31
Julian Baumgartlinger,76,76,2600000,34
Aridane Hernández Umpiérrez,76,76,3600000,33
Liam Cooper,76,76,6000000,30
Ashley Westwood,76,76,5000000,32
Bas Dost,76,76,4800000,33
Ante Budimir,76,76,7500000,30
Mauricio Isla,76,76,2800000,34
Aaron Ramsey,76,76,6000000,31
Gaël Kakuta,76,76,6000000,31
Patrick van Aanholt,76,76,5500000,31
Gonzalo Escalante,76,76,6500000,29
Birger Meling,76,77,8000000,27
Baptiste Santamaria,76,77,8500000,27
Miguel Borja,76,76,7500000,29
Luis Advíncula,76,76,5000000,32
Pietro Terracciano,76,76,3700000,32
Lucas Robertone,76,80,10500000,25
Andreas Skov Olsen,76,83,15000000,22
Pascal Struijk,76,83,14000000,22
Gerzino Nyamsi,76,80,9500000,25
Szymon Żurkowski,76,81,11500000,24
Nicolò Casale,76,84,15500000,24
Boubakary Soumaré,76,81,10500000,23
Alexis Mac Allister,76,82,12000000,23
Aaron Boupendza,76,77,9000000,25
Omar Alderete,76,80,9500000,25
Leonardo Carrilho Baptistão,76,76,7500000,29
Ander Guevara Lajo,76,81,11500000,24
Roman Yaremchuk,76,79,10000000,26
Martín Ojeda,76,82,12000000,23
Leander Dendoncker,76,77,8500000,27
David Jefferson Seijalbo Vaz,76,76,7000000,26
Rubem Thomas Esteiro Branco,76,76,3500000,34
Nicolás Evandro Filheiro Stein,76,76,8000000,26
Óscar Rodríguez Arnaiz,76,81,11500000,24
Emmanuel Dennis,76,80,11000000,24
Chidera Ejuke,76,81,11500000,24
Florin Niță,76,76,0,34
Carlos Rodríguez,76,81,0,25
Marcelino Moreno,76,77,8500000,27
Ghislain Konan,76,78,8500000,26
Eberechi Eze,76,81,11500000,24
Marc Roca Junqué,76,79,9000000,25
Esequiel Barco,76,82,12000000,23
Jean-Philippe Mateta,76,79,10000000,25
Robin Koch,76,80,9500000,25
Facundo Medina,76,79,9000000,23
Justin Kluivert,76,81,11500000,23
Keidi Bare,76,81,10500000,24
Enis Bardhi,76,76,8000000,26
Arne Maier,76,82,12000000,23
Nedim Bajrami,76,85,16500000,23
Nicolás Domínguez,76,82,12000000,24
Pierre Tomás Torres De Faria,76,76,825000,38
Nelson Arturo Reis Lopes,76,79,8000000,22
Fred Marcos Aníbal Dias,76,76,5000000,30
Mahmoud Hassan,76,76,8000000,27
Reece Oxford,76,81,10000000,23
Eric Bailly,76,77,7000000,28
Nadiem Amiri,76,79,10000000,25
Jonathan Bamba,76,77,9000000,26
Ivan Provedel,76,77,6000000,28
Orbelín Pineda,76,77,9000000,26
Emmanuel Boateng,76,79,10000000,26
Ryan Kent,76,79,10000000,25
Zeki Çelik,76,79,9000000,25
Sergio Rico González,76,78,6500000,28
Moisés Gómez Bordonado,76,76,7500000,28
Yunis Abdelhamid,76,76,2400000,34
Miroslav Stevanović,76,76,6000000,31
Sanjin Prcić,76,76,6500000,28
Mattia De Sciglio,76,76,6500000,29
Pere Milla Peña,76,76,7500000,29
Ché Adams,76,78,9500000,25
Antonaldo David Machado Chagas,76,76,2400000,34
Thilo Kehrer,76,79,9000000,25
Lúcio Anselmo Corteijo Salazar,76,76,2800000,34
Silas Enaldo Barros de Almeida,76,76,6500000,30
Andrey Lunev,76,76,5000000,30
Rubén Alcaraz Jiménez,76,76,6000000,31
Rafael Jiménez Jarque,76,77,7000000,28
Vangelis Pavlidis,76,82,12000000,23
Levi García,76,80,11000000,24
Mattias Svanberg,76,81,11500000,23
Oussama Idrissi,76,77,9000000,26
Lucas Martínez Quarta,76,79,8500000,26
Grischa Prömel,76,77,8500000,27
Matheus Fellipe Costa Pereira,76,79,10000000,26
Jeremiah St. Juste,76,80,9500000,25
Rubén Duarte Sánchez,76,79,9000000,26
Gonzalo Martínez,76,76,7500000,29
Walker Zimmerman,76,77,7000000,29
Mauro Boselli,76,76,2600000,37
Yannick Gerhardt,76,76,7500000,28
Michael Olise,76,86,16500000,20
Oihan Sancet Tirapu,76,85,17000000,22
Francisco Mota Castro Trincão,76,83,15000000,22
Mohammed Kudus,76,84,17000000,21
Luis Javier Suárez,76,83,15000000,24
Thiago Almada,76,87,17000000,21
Óscar Gil Regaño,76,81,10500000,24
Riccardo Sottil,76,81,11500000,23
Manor Solomon,76,85,17000000,22
Carlos Neva Tey,76,79,9000000,26
Edgar González Estrada,76,80,9500000,25
Khvicha Kvaratskhelia,76,88,18500000,21
Mateus Tetê,76,86,17000000,22
Thierry Rendall Correia,76,82,11000000,23
Vitaliy Mykolenko,76,83,14500000,23
Daniel Vivian Moreno,76,83,14000000,22
Lukáš Kalvach,76,78,8500000,26
Kodjo Fo-Doh Laba,76,76,7500000,30
Shon Weissman,76,79,10000000,26
Zaidu Sanusi,76,80,9500000,25
David Mota Teixeira Carmo,76,85,15500000,22
Brian Brobbey,76,85,16500000,20
Tommaso Pobega,76,85,17000000,22
Ladislav Krejčí,76,84,15500000,23
Wilfried Singo,76,85,16000000,21
Hicham Boudaoui,76,82,12000000,22
Attila Szalai,76,82,11000000,24
Carlos Vinícius Alves Morais,76,77,9000000,27
Vitaliy Buyalskyi,76,76,7500000,29
Patrick Wimmer,76,85,17000000,21
Igor Julio dos Santos de Paulo,76,81,10000000,24
Iuri José Picanço Medeiros,76,76,8000000,27
Joe Reynolds,76,76,5000000,31
Emmanuel Winchester,76,78,8000000,26
Thierry Zoreaux,76,77,6000000,28
Juan Miranda González,76,84,16000000,22
Dejan Ljubičić,76,80,11000000,24
Tyrick Mitchell,76,83,14500000,22
Nahuel Tenaglia,76,79,9000000,26
Youcef Belaïli,76,76,7000000,30
Mikkel Damsgaard,76,85,17000000,21
Mauro Jaqueson J. Ferreira Santos,76,82,11000000,23
Jonas Wind,76,82,12000000,23
Pape Gueye,76,82,11000000,23
Jonathan Burkardt,76,84,17000000,21
Diego Rossi,76,80,11000000,24
Hidemasa Morita,76,77,8500000,27
Stephen Antunes Eustáquio,76,82,10500000,25
Curtis Jones,76,84,17000000,21
Cheick Doucouré,76,78,10000000,22
Rayan Aït Nouri,76,86,16000000,21
Luis Romo,76,77,0,27
Enock Mwepu,76,82,12000000,24
Luca Pellegrini,76,82,11000000,23
