Full Name,Overall,Potential,Value(in Euro),Age,Height(in cm),Weight(in kg),Pace Total,Shooting Total,Dribbling Total
Iago Amaral Borduchi,77,80,13000000,25,181,67,84,58,74
Zack Steffen,77,79,9500000,27,191,86,79,74,82
Domingos Sousa Menezes Duarte,77,80,12000000,27,190,78,52,35,53
Wout Faes,77,82,14500000,24,187,82,59,38,58
Ismaïla Sarr,77,83,16500000,24,185,76,94,76,80
Brais Méndez Portela,77,80,14000000,25,187,76,69,74,75
Giulio Maggiore,77,81,15000000,24,184,69,74,62,76
Saa Lukic,77,80,14000000,25,183,77,60,68,78
Davidson Da Luz Pereira,77,77,8500000,31,177,63,81,75,80
Callum McGregor,77,77,9000000,29,178,74,78,73,78
Dele Alli,77,80,14000000,26,188,80,65,77,78
Armindo Tué Na Bangna,77,77,11000000,27,173,70,90,71,83
Sofiane Boufal,77,77,11000000,28,175,67,79,71,84
Darko Lazovic,77,77,8500000,31,181,66,85,69,78
Philipp Max,77,77,9500000,28,177,77,78,65,75
Florian Lejeune,77,77,7000000,31,189,81,52,57,64
Rafal Gikiewicz,77,77,1800000,34,190,81,79,72,81
Hugo Mallo Novegil,77,77,7500000,31,173,69,64,39,67
Burak Yilmaz,77,77,3600000,36,188,77,74,82,70
Milton Casco,77,77,3900000,34,170,69,83,68,80
Silvan Widmer,77,77,9500000,29,183,80,78,62,74
Ander Capa Rodríguez,77,77,9000000,30,175,75,79,64,74
Ihlas Bebou,77,77,11000000,28,185,80,89,75,79
Danilo Teodoro Soares,77,77,9000000,30,170,73,68,59,77
Jean-David Beauguel,77,77,10500000,30,196,96,68,75,71
Moses Simon,77,77,11500000,26,168,69,90,70,81
Andre Blake,77,77,5500000,31,188,79,79,70,81
Matt Targett,77,78,11500000,26,183,70,69,47,72
Matias Vecino,77,77,10000000,30,187,81,62,71,76
Jason Denayer,77,79,0,27,184,80,71,43,68
Yerry Mina,77,79,11000000,27,195,94,37,54,58
Demarai Gray,77,78,12500000,26,183,75,86,76,81
Andrija ivkovic,77,78,12500000,25,169,62,80,73,81
Franck Honorat,77,78,12500000,25,180,70,81,75,77
Mislav Oric,77,77,10500000,29,179,69,88,80,75
Nico Elvedi,77,81,13000000,25,189,84,70,39,68
Lucas Boyé,77,80,14000000,26,183,79,70,78,78
Breel Embolo,77,80,14000000,25,187,88,84,75,74
Marvin Friedrich,77,79,11500000,26,193,84,63,41,53
Daniel Ceballos Fernández,77,80,14000000,25,179,68,58,68,82
Ruben Aguilar,77,77,9500000,29,172,71,73,53,75
Stefan Lainer,77,77,9500000,29,175,73,74,63,70
Pedro Chirivella Burgos,77,80,12500000,25,178,66,59,54,74
Marvin Schwäbe,77,80,10500000,27,190,86,77,73,80
Dyego Wilverson Ferreira Sousa,77,77,8500000,32,190,82,57,79,74
Joachim Andersen,77,80,12000000,26,192,90,52,50,64
José Manuel Reina Páez,77,77,1200000,39,188,92,75,77,76
Luís Carlos Almeida da Cunha,77,77,4300000,35,177,72,69,75,80
Germán Pezzella,77,77,7000000,31,186,81,50,49,56
Álvaro Negredo Sánchez,77,77,3600000,36,186,86,53,80,70
Roberto Soriano,77,77,8500000,31,182,76,68,73,79
Aitor Fernández,77,77,5500000,31,182,78,78,74,80
Christopher Trimmel,77,77,3200000,35,189,82,72,65,68
Luis Miguel Rodríguez,77,77,3600000,37,167,67,67,79,83
Stephan El Shaarawy,77,77,10500000,29,178,73,86,74,78
Pascal Groß,77,77,8500000,31,181,78,50,74,75
Asier Illarramendi,77,77,8500000,32,179,74,42,69,76
Oscar De Marcos Arana,77,77,5500000,33,182,78,78,64,72
Fidel Chaves de la Torre,77,77,8500000,32,180,74,72,72,75
Jonjo Shelvey,77,77,10000000,30,184,80,40,71,72
Gustavo Bou,77,77,8500000,32,175,72,76,79,76
Rubén Rochina Naixes,77,77,8500000,31,182,76,68,77,80
Matías Suárez,77,77,5000000,34,183,75,75,76,83
Artem Dzyuba,77,77,6500000,33,196,91,63,77,69
Cheikhou Kouyaté,77,77,7000000,32,189,83,60,64,69
Ángel Montoro Sánchez,77,77,3600000,34,181,72,38,65,70
Mario Balotelli,77,77,9000000,31,190,94,66,81,76
Cristhian Stuani,77,77,4500000,35,186,76,67,79,70
Moussa Sissoko,77,77,7000000,32,187,91,70,61,75
Diego Godín,77,77,1900000,36,187,78,54,48,61
Sidnei Rechel da Silva Júnior,77,77,7000000,32,185,80,68,56,63
Stevan Jovetic,77,77,8500000,32,183,79,62,79,79
Willian Borges da Silva,77,77,6500000,33,175,77,75,76,80
Kévin Gameiro,77,77,4500000,35,172,69,78,77,75
Andrés Guardado,77,77,3000000,35,169,67,61,68,79
Salvatore Sirigu,77,77,1200000,35,192,85,75,73,75
Jorge Molina Vidal,77,77,0,40,188,72,33,82,67
Umar Sadiq,77,82,15500000,25,192,75,84,76,72
Valentin Rosier,77,80,13000000,25,175,75,84,52,77
Taiwo Awoniyi,77,80,14500000,24,183,85,83,76,70
Khéphren Thuram,77,84,21500000,21,192,81,74,69,77
Adrià Giner Pedrosa,77,83,15500000,24,176,69,90,60,78
Arthur Mendonça Cabral,77,83,17000000,24,186,89,73,77,73
Adam Hloek,77,87,23000000,19,188,83,78,75,77
Alberto Moreno Pérez,77,77,9500000,29,171,65,81,69,77
Mohamed Camara,77,85,22500000,22,169,65,82,58,77
Bryan Gil Salvatierra,77,86,23500000,21,175,65,77,69,82
Dávid Hancko,77,85,22000000,24,188,80,78,61,70
Gonzalo Plata,77,86,23500000,21,178,65,88,69,82
Lucas Silva Melo,77,82,14500000,22,185,81,70,49,70
Unai Vencedor Paris,77,84,21500000,21,176,71,62,70,76
Max Kilman,77,83,14500000,25,194,89,61,42,63
Jan Maas,77,77,9000000,28,193,90,70,43,67
Richard Montlaur,77,77,10000000,27,176,70,79,69,78
Sergiño Dest,77,85,22500000,21,175,62,86,59,81
Jan Kuchta,77,80,14000000,25,185,80,79,75,74
Fábio Daniel Ferreira Vieira,77,87,23500000,22,176,61,75,71,77
Noni Madueke,77,86,23000000,20,182,70,90,71,82
Manuel Ugarte,77,85,23500000,21,182,77,72,63,77
Zouhair Feddal,77,77,7000000,32,191,85,60,50,60
Marko Livaja,77,77,11000000,28,182,80,78,77,79
Giovanni Reyna,77,86,23000000,19,185,79,78,71,82
Jordan Teze,77,84,20000000,22,183,68,81,48,68
Yussuf Poulsen,77,77,11000000,28,192,84,78,71,74
Wenderson Nascimento Galeno,77,81,15000000,24,179,62,90,72,82
Benoît Badiashile,77,85,22000000,21,194,75,61,47,60
Musa Barrow,77,83,17000000,23,183,70,84,75,78
Patson Daka,77,83,17000000,23,183,71,90,78,75
Lutsharel Geertruida,77,85,22500000,21,185,73,80,52,73
Andoni Gorosabel Espinosa,77,79,12000000,25,174,70,75,46,72
Oliver Skipp,77,84,20000000,21,175,70,65,47,71
Mathías Olivera,77,83,15500000,24,184,78,74,50,71
Davide Frattesi,77,86,23500000,22,178,74,79,69,80
Matteo Pessina,77,80,14000000,25,183,75,72,71,77
Eduardo Gabriel Aquino Cossa,77,80,14000000,25,173,72,85,66,80
Eric García Martret,77,84,20000000,21,182,76,62,44,68
Dan-Axel Zagadou,77,82,14500000,23,196,90,58,34,51
Merih Demiral,77,82,14500000,24,190,86,73,39,60
Valentin Castellanos,77,82,16000000,23,178,74,78,77,73
Jorge de Frutos Sebastián,77,80,14000000,25,176,71,82,70,78
Maxence Lacroix,77,86,22000000,22,190,88,87,33,67
Deniz Undav,77,80,14000000,25,178,86,68,80,75
Ademola Lookman,77,81,15000000,24,174,71,85,73,82
Mykola Shaparenko,77,85,23500000,23,178,72,77,72,78
Mohammed Salisu,77,85,22000000,23,191,85,69,36,55
Jordan Ferri,77,77,9000000,30,173,73,57,65,74
Willian Souza Arão da Silva,77,77,9000000,30,181,74,73,63,69
Hugo Duro Perales,77,84,21500000,22,180,76,75,76,76
Alessandro L. Baia Marques,77,77,3900000,34,175,71,76,48,75
Moussa Marega,77,77,9000000,31,184,94,89,76,68
Rob Holding,77,79,11500000,26,189,75,54,34,66
Benjamin Henrichs,77,80,13000000,25,185,79,71,53,76
Kasper Dolberg,77,81,15500000,24,187,84,71,80,76
Robert Lynch Sánchez,77,83,13500000,24,197,85,78,75,80
Rade Krunic,77,77,10500000,28,184,74,67,73,77
Axel Disasi,77,82,14500000,24,190,86,50,28,55
César Montes,77,82,0,25,191,70,62,44,65
Suat Serdar,77,81,14500000,25,184,75,67,71,81
Enzo Leandro Chissano Baia,77,77,9000000,30,165,62,79,62,70
Angelo Fulgini,77,80,14000000,25,183,71,73,70,79
Claudio Nuno Coíntra Calegari,77,77,11500000,26,174,71,79,73,78
Wagner Mauro Laranjo Coelho,77,77,2100000,38,177,77,67,72,73
Andeson Jaime Trigo Gonçalves,77,77,3900000,34,175,68,82,63,77
Jadson José Meireles Correia,77,77,10000000,26,176,72,58,61,58
Rodrigo Éder Vuarte Ruiz,77,77,9000000,30,179,77,65,65,63
Victorio Martin Maia Padilha Jabim,77,77,10500000,26,178,75,79,54,73
Danilo Manuel Vieira Espíndola,77,77,3400000,34,189,84,59,39,57
Murildo Kauê Cadete Teixeira,77,77,12500000,22,178,78,81,63,75
Sidney Adrián Pessoa Vidigal,77,77,9000000,30,187,85,69,62,69
Gelson Dany Batalha Martins,77,77,11000000,27,173,74,90,70,81
Vitor Hugo Franchescoli Souza,77,77,7000000,31,187,80,66,33,50
Petros Mantalos,77,77,10000000,30,177,74,73,69,78
Jérémie Boga,77,80,14000000,25,172,68,85,73,81
Anastasios Bakasetas,77,77,10500000,29,181,78,71,78,76
Romain Saïss,77,77,7000000,32,188,84,61,56,66
Adrien Thomasson,77,77,10500000,28,177,72,69,72,77
Hany Mukhtar,77,78,12500000,27,173,71,80,74,78
Fabian Schär,77,77,8500000,30,188,84,51,67,67
Salem Al Dawsari,77,77,10000000,30,173,71,84,73,81
Kevin Mbabu,77,77,10000000,27,184,83,83,51,71
Paulo André Rodrigues Oliveira,77,77,8500000,30,187,81,60,35,61
Emerson Palmieri dos Santos,77,77,10000000,27,176,79,74,63,78
Marius Wolf,77,77,11000000,27,188,81,83,71,74
Hee Chan Hwang,77,78,12500000,26,177,77,81,75,78
Gaetano Castrovilli,77,81,14500000,25,187,71,74,65,82
Jean Butez,77,80,10500000,27,188,86,76,76,79
Habib Diallo,77,78,12500000,27,186,79,71,76,72
Irfan Can Kahveci,77,78,12500000,26,176,75,74,71,80
Abdou Diallo,77,79,11500000,26,187,79,72,39,74
Kelechi Iheanacho,77,79,13500000,25,185,82,73,79,77
Stephy Mavididi,77,81,15000000,24,182,71,88,76,77
Ben Godfrey,77,85,22000000,24,183,79,82,44,65
Olivier Boscagli,77,82,14500000,24,181,68,73,49,74
Illan Meslier,77,84,18500000,22,196,74,79,76,81
Odsonne Edouard,76,82,12000000,24,187,83,79,75,79
Gabriel Jairo Aníbal Rangel,76,76,6500000,30,182,77,67,62,65
Simão Alvin Acunha Bardini,76,76,3500000,34,178,71,77,68,77
Timo Hübers,76,79,9000000,25,190,82,80,39,58
Joakim Mæhle,76,79,9000000,25,185,79,85,56,72
João Pedro Neves Filipe,76,83,15000000,23,175,67,86,71,79
Florentino Morris Luís,76,85,16000000,22,184,74,56,44,68
Evander da Silva Ferreira,76,81,11500000,24,179,76,73,71,80
Roland Sallai,76,77,9000000,25,183,75,75,70,78
Yangel Herrera,76,81,11500000,24,184,77,62,70,74
Akram Afif,76,78,0,25,177,70,87,71,77
Nuno Miguel Jerónimo Sequeira,76,76,5500000,31,184,79,67,59,71
Riccardo Orsolini,76,79,10000000,25,183,73,79,72,81
Jorge Sánchez,76,82,11000000,24,175,71,92,50,75
Tarik Tissoudali,76,76,7500000,29,182,70,76,73,82
Rodrigo Aliendro,76,76,6000000,31,173,72,77,72,80
Tyler Adams,76,80,10000000,23,175,72,80,48,73
Shoya Nakajima,76,76,8000000,27,165,67,86,71,82
Fernando Zampedri,76,76,3600000,34,184,84,68,78,71
Marko Grujic,76,79,9500000,26,191,88,61,71,77
Yusuf Yazici,76,80,10500000,25,184,74,66,75,79
Thomas Henry,76,76,8000000,27,191,86,65,76,66
James Justin,76,79,9500000,24,183,80,81,50,72
Romain Perraud,76,80,10000000,24,173,68,72,72,75
Trevoh Chalobah,76,82,11000000,22,191,84,64,47,68
Adilson Patrick Edrada Pereira,76,76,7000000,30,176,72,77,71,80
Alejandro Silva,76,76,6000000,32,178,68,87,68,75
Florian Müller,76,80,8500000,24,190,88,75,73,80
Wesley Hoedt,76,77,7000000,28,188,77,52,46,60
Frank Fabra,76,76,5500000,31,174,78,83,68,78
Diego Javier Llorente Ríos,76,77,7000000,28,186,76,67,40,68
Sebastián Palacios,76,76,7000000,30,163,69,91,74,77
Daniel Amartey,76,77,7500000,27,186,79,63,55,69
Frank Acheampong,76,76,7500000,28,169,60,93,75,81
Divock Origi,76,77,9000000,27,189,88,79,75,75
Antonio José Rodríguez Díaz,76,76,7000000,30,183,77,76,73,76
Ruben Loftus-Cheek,76,79,9500000,26,191,88,65,68,78
Abderrazak Hamdallah,76,76,6500000,31,179,82,72,76,76
Federico Di Francesco,76,76,7500000,28,171,75,78,70,80
Thiago Henrique Mendes Ribeiro,76,76,6500000,30,177,75,68,67,75
Helton Brant Aleixo Leite,76,76,4000000,31,197,92,75,73,78
Gustavo Cuéllar,76,76,6500000,29,177,75,69,50,69
Iván Marcone,76,76,5000000,32,182,79,44,62,69
Léo Dubois,76,76,7000000,27,178,65,70,58,72
Lucas Romero,76,76,6500000,28,167,70,75,62,73
Leonardo Sigali,76,76,2000000,35,181,74,66,51,61
Fabrizio Angileri,76,76,7000000,28,184,84,79,71,75
Lorenzo Montipò,76,80,8000000,26,191,82,76,74,80
Serhou Guirassy,76,79,10000000,26,187,82,68,75,75
Ayoze Pérez Gutiérrez,76,76,7500000,28,178,72,76,70,80
Robert Kenedy Nunes do Nascimento,76,77,9000000,26,182,77,77,71,78
Andrea Petagna,76,77,9000000,27,190,85,59,75,75
Youssouf Sabaly,76,76,6500000,29,173,67,77,46,71
Álvaro García Rivera,76,76,7500000,29,167,61,91,67,75
Maximilian Philipp,76,76,7500000,28,183,79,76,78,78
Alexander Sørloth,76,78,9500000,26,194,90,81,74,72
Luan Peres Petroni,76,76,7000000,27,190,79,69,38,68
Vanderson de Oliveira Campos,76,85,17000000,21,180,74,78,62,75
Christian Fassnacht,76,76,7500000,28,185,77,82,70,75
Germán Sánchez Barahona,76,76,2000000,35,186,79,45,40,55
Marco Bizot,76,76,4000000,31,193,88,79,73,76
Magomed Ozdoev,76,76,6500000,29,184,78,75,71,76
Erik Sviatchenko,76,76,6000000,30,184,82,60,51,61
Alejandro Fernández Iglesias,76,76,7500000,29,182,72,53,71,73
Domagoj Vida,76,76,3600000,33,184,82,74,40,59
Ross Barkley,76,76,7500000,28,186,76,68,73,78
Daniel Rodríguez Vázquez,76,76,3500000,34,178,71,84,75,72
Dedryck Boyata,76,76,5000000,31,188,84,68,30,58
Naïm Sliti,76,76,7500000,29,173,78,73,72,80
Aaron Mooy,76,76,6000000,31,175,68,62,72,74
Andros Townsend,76,76,7000000,30,175,73,74,73,79
Haris Seferovic,76,76,7500000,30,190,87,71,76,71
Xherdan Shaqiri,76,76,7000000,30,169,72,69,75,79
Martin Braithwaite,76,76,6500000,31,177,73,79,76,78
Jaume Vicent Costa Jordá,76,76,2800000,34,171,62,70,61,72
Maxime Gonalons,76,76,3700000,33,187,76,44,61,68
Mark Uth,76,76,7000000,30,185,72,72,77,76
Juan Guilherme Nunes Jesus,76,76,5000000,31,185,83,69,33,60
Jeffrey Schlupp,76,76,7500000,29,178,72,84,71,76
Djibril Sidibé,76,76,6500000,29,183,74,70,62,73
Koray Günter,76,78,8000000,27,184,79,62,46,65
Luís Carlos Novo Neto,76,76,2400000,34,185,72,64,37,56
Xavier Mercier,76,76,6000000,32,174,71,66,71,73
Hendrik Van Crombrugge,76,78,6000000,29,189,86,77,73,79
Roque Mesa Quevedo,76,76,4600000,33,172,76,67,67,75
Tonny Vilhena,76,76,8000000,27,175,70,73,72,77
Mohamed Elyounoussi,76,76,8000000,27,178,70,77,74,78
Robin Knoche,76,76,6000000,30,190,77,51,41,50
Grégoire Defrel,76,76,6500000,31,180,79,81,75,78
Jérôme Roussillon,76,76,6500000,29,175,80,86,65,78
Stuart Armstrong,76,76,7000000,30,183,75,70,77,76
Jasmin Kurtic,76,76,4600000,33,186,88,58,76,72
Ciprian Tataru?anu,76,76,825000,36,198,90,74,74,77
Rasmus Falk,76,76,7000000,30,177,65,77,59,80
Riccardo Saponara,76,76,7000000,30,184,73,69,70,80
Kevin Vogt,76,76,6000000,30,194,87,71,57,68
Chris Wood,76,76,7500000,30,191,92,59,77,70
Javier Pastore,76,76,4700000,33,187,78,60,73,76
Óscar Romero,76,76,7500000,29,176,74,74,69,79
Jan Bednarek,76,80,9000000,26,189,77,48,22,55
Harry Wilson,76,79,10000000,25,173,70,77,78,76
Érick Gutiérrez,76,77,8500000,27,178,68,68,71,75
David Raya Martin,76,78,7000000,26,183,75,76,74,77
Sverrir Ingi Ingason,76,76,6500000,28,188,83,61,53,58
Luciano Acosta,76,76,7500000,28,161,59,79,66,83
Jae Sung Lee,76,76,7500000,29,181,74,68,64,81
Alfredo Morelos,76,78,9500000,26,177,79,77,75,72
Jindrich Stanek,76,79,7500000,26,191,93,77,73,79
Harry Winks,76,78,9000000,26,176,65,60,59,77
Timo Baumgartl,76,79,8500000,26,190,88,63,36,52
Sheraldo Becker,76,77,9000000,27,180,77,95,75,77
Paul Bernardoni,76,81,9000000,25,190,78,76,73,80
Henry Martín,76,76,0,29,177,83,77,74,74
Sofyan Amrabat,76,79,9000000,25,185,70,68,71,75
Diego Rico Salguero,76,76,6500000,29,180,78,72,55,70
David Brooks,76,79,10000000,24,180,62,69,71,79
Sebastián Blanco,76,76,3500000,34,170,68,72,76,78
Joseba Zaldúa Bengoetxea,76,76,6500000,30,174,69,66,37,65
Lukasz Skorupski,76,76,4000000,31,187,84,78,73,81
Julian Baumgartlinger,76,76,2600000,34,181,85,54,49,68
Aridane Hernández Umpiérrez,76,76,3600000,33,186,77,50,36,54
Liam Cooper,76,76,6000000,30,187,73,49,35,58
Ashley Westwood,76,76,5000000,32,175,73,56,63,73
Bas Dost,76,76,4800000,33,196,83,44,78,64
Ante Budimir,76,76,7500000,30,190,75,62,76,72
Mauricio Isla,76,76,2800000,34,176,75,77,54,75
Aaron Ramsey,76,76,6000000,31,183,76,51,71,79
Gaël Kakuta,76,76,6000000,31,173,72,70,73,80
Patrick van Aanholt,76,76,5500000,31,176,67,83,68,75
Gonzalo Escalante,76,76,6500000,29,182,76,63,67,71
Birger Meling,76,77,8000000,27,173,67,82,55,75
Baptiste Santamaria,76,77,8500000,27,183,81,49,65,74
Miguel Borja,76,76,7500000,29,183,87,80,77,68
Luis Advíncula,76,76,5000000,32,180,80,91,64,74
Pietro Terracciano,76,76,3700000,32,193,78,76,73,79
Lucas Robertone,76,80,10500000,25,175,70,85,73,78
Andreas Skov Olsen,76,83,15000000,22,188,75,86,74,76
Pascal Struijk,76,83,14000000,22,190,79,57,38,63
Gerzino Nyamsi,76,80,9500000,25,195,94,47,33,56
Szymon Zurkowski,76,81,11500000,24,185,77,82,73,77
Nicolò Casale,76,84,15500000,24,191,80,74,53,68
Boubakary Soumaré,76,81,10500000,23,188,82,68,56,74
Alexis Mac Allister,76,82,12000000,23,176,72,69,77,75
Aaron Boupendza,76,77,9000000,25,180,79,84,77,79
Omar Alderete,76,80,9500000,25,188,77,63,56,63
Leonardo Carrilho Baptistão,76,76,7500000,29,181,71,79,73,77
Ander Guevara Lajo,76,81,11500000,24,180,73,50,64,72
Roman Yaremchuk,76,79,10000000,26,193,83,79,75,71
Martín Ojeda,76,82,12000000,23,179,78,83,76,76
Leander Dendoncker,76,77,8500000,27,189,88,61,69,71
David Jefferson Seijalbo Vaz,76,76,7000000,26,176,76,65,53,63
Rubem Thomas Esteiro Branco,76,76,3500000,34,179,77,76,65,76
Nicolás Evandro Filheiro Stein,76,76,8000000,26,172,69,72,69,76
Óscar Rodríguez Arnaiz,76,81,11500000,24,174,67,59,75,76
Emmanuel Dennis,76,80,11000000,24,175,66,87,75,77
Chidera Ejuke,76,81,11500000,24,176,72,92,70,80
Florin Ni?a,76,76,0,34,184,78,76,76,78
Carlos Rodríguez,76,81,0,25,171,64,77,67,78
Marcelino Moreno,76,77,8500000,27,168,65,87,70,79
Ghislain Konan,76,78,8500000,26,176,71,78,51,75
Eberechi Eze,76,81,11500000,24,178,67,75,70,81
Marc Roca Junqué,76,79,9000000,25,184,77,45,62,72
Esequiel Barco,76,82,12000000,23,167,66,84,70,81
Jean-Philippe Mateta,76,79,10000000,25,192,88,71,74,73
Robin Koch,76,80,9500000,25,191,83,62,38,64
Facundo Medina,76,79,9000000,23,184,77,73,33,69
Justin Kluivert,76,81,11500000,23,172,66,88,73,79
Keidi Bare,76,81,10500000,24,174,66,75,60,74
Enis Bardhi,76,76,8000000,26,172,64,71,78,78
Arne Maier,76,82,12000000,23,186,79,70,61,75
Nedim Bajrami,76,85,16500000,23,179,68,76,68,77
Nicolás Domínguez,76,82,12000000,24,179,73,75,66,76
Pierre Tomás Torres De Faria,76,76,825000,38,190,82,77,71,79
Nelson Arturo Reis Lopes,76,79,8000000,22,190,88,76,77,74
Fred Marcos Aníbal Dias,76,76,5000000,30,192,90,71,77,77
Mahmoud Hassan,76,76,8000000,27,180,71,77,74,78
Reece Oxford,76,81,10000000,23,193,86,68,33,62
Eric Bailly,76,77,7000000,28,186,77,70,42,66
Nadiem Amiri,76,79,10000000,25,180,77,67,72,81
Jonathan Bamba,76,77,9000000,26,175,72,84,71,78
Ivan Provedel,76,77,6000000,28,192,84,77,74,79
Orbelín Pineda,76,77,9000000,26,169,63,81,74,79
Emmanuel Boateng,76,79,10000000,26,175,70,91,74,75
Ryan Kent,76,79,10000000,25,172,65,91,72,78
Zeki Çelik,76,79,9000000,25,180,78,77,59,71
Sergio Rico González,76,78,6500000,28,196,90,77,73,80
Moisés Gómez Bordonado,76,76,7500000,28,176,73,65,73,76
Yunis Abdelhamid,76,76,2400000,34,190,83,32,33,62
Miroslav Stevanovic,76,76,6000000,31,180,72,83,69,75
Sanjin Prcic,76,76,6500000,28,181,75,55,60,75
Mattia De Sciglio,76,76,6500000,29,182,78,67,46,75
Pere Milla Peña,76,76,7500000,29,184,72,75,76,77
Ché Adams,76,78,9500000,25,178,70,81,77,75
Antonaldo David Machado Chagas,76,76,2400000,34,188,82,68,36,60
Thilo Kehrer,76,79,9000000,25,186,76,75,44,66
Lúcio Anselmo Corteijo Salazar,76,76,2800000,34,175,71,77,45,64
Silas Enaldo Barros de Almeida,76,76,6500000,30,177,76,78,56,68
Andrey Lunev,76,76,5000000,30,190,82,76,73,79
Rubén Alcaraz Jiménez,76,76,6000000,31,180,82,56,73,71
Rafael Jiménez Jarque,76,77,7000000,28,186,84,52,53,59
Vangelis Pavlidis,76,82,12000000,23,185,82,77,75,74
Levi García,76,80,11000000,24,182,86,87,68,82
Mattias Svanberg,76,81,11500000,23,185,77,77,68,77
Oussama Idrissi,76,77,9000000,26,175,78,80,76,80
Lucas Martínez Quarta,76,79,8500000,26,183,78,64,56,70
Grischa Prömel,76,77,8500000,27,184,81,65,71,73
Matheus Fellipe Costa Pereira,76,79,10000000,26,176,80,72,72,79
Jeremiah St. Juste,76,80,9500000,25,186,76,93,58,74
Rubén Duarte Sánchez,76,79,9000000,26,179,72,62,38,68
Gonzalo Martínez,76,76,7500000,29,172,75,82,72,82
Walker Zimmerman,76,77,7000000,29,191,89,57,50,56
Mauro Boselli,76,76,2600000,37,181,70,54,79,67
Yannick Gerhardt,76,76,7500000,28,184,81,69,69,75
Michael Olise,76,86,16500000,20,178,68,80,70,80
Oihan Sancet Tirapu,76,85,17000000,22,188,72,73,75,77
Francisco Mota Castro Trincão,76,83,15000000,22,184,76,78,70,80
Mohammed Kudus,76,84,17000000,21,177,70,88,71,80
Luis Javier Suárez,76,83,15000000,24,185,74,85,77,75
Thiago Almada,76,87,17000000,21,171,62,85,72,82
Óscar Gil Regaño,76,81,10500000,24,173,70,79,48,75
Riccardo Sottil,76,81,11500000,23,180,75,87,66,78
Manor Solomon,76,85,17000000,22,170,67,80,71,79
Carlos Neva Tey,76,79,9000000,26,174,64,77,52,71
Edgar González Estrada,76,80,9500000,25,193,78,53,49,63
Khvicha Kvaratskhelia,76,88,18500000,21,183,70,82,68,81
Mateus Tetê,76,86,17000000,22,175,72,82,72,79
Thierry Rendall Correia,76,82,11000000,23,176,69,90,49,75
Vitaliy Mykolenko,76,83,14500000,23,180,71,76,46,61
Daniel Vivian Moreno,76,83,14000000,22,183,83,70,43,60
Luká Kalvach,76,78,8500000,26,183,77,68,64,73
Kodjo Fo-Doh Laba,76,76,7500000,30,183,82,78,76,69
Shon Weissman,76,79,10000000,26,174,79,75,79,69
Zaidu Sanusi,76,80,9500000,25,182,71,93,37,64
David Mota Teixeira Carmo,76,85,15500000,22,196,89,50,28,51
Brian Brobbey,76,85,16500000,20,180,78,82,73,70
Tommaso Pobega,76,85,17000000,22,188,78,76,77,76
Ladislav Krejcí,76,84,15500000,23,190,86,67,66,68
Wilfried Singo,76,85,16000000,21,190,79,79,57,74
Hicham Boudaoui,76,82,12000000,22,175,61,74,65,79
Attila Szalai,76,82,11000000,24,192,83,73,44,61
Carlos Vinícius Alves Morais,76,77,9000000,27,190,83,71,76,73
Vitaliy Buyalskyi,76,76,7500000,29,170,61,75,69,79
Patrick Wimmer,76,85,17000000,21,182,77,85,66,77
Igor Julio dos Santos de Paulo,76,81,10000000,24,185,84,73,31,55
Iuri José Picanço Medeiros,76,76,8000000,27,174,64,75,72,82
Joe Reynolds,76,76,5000000,31,191,87,64,31,60
Emmanuel Winchester,76,78,8000000,26,191,82,70,29,48
Thierry Zoreaux,76,77,6000000,28,188,86,76,77,80
Juan Miranda González,76,84,16000000,22,185,79,77,58,74
Dejan Ljubicic,76,80,11000000,24,187,74,78,67,75
Tyrick Mitchell,76,83,14500000,22,180,70,77,39,70
Nahuel Tenaglia,76,79,9000000,26,181,70,71,43,72
Youcef Belaïli,76,76,7000000,30,178,75,79,74,79
Mikkel Damsgaard,76,85,17000000,21,180,71,84,68,81
Mauro Jaqueson J. Ferreira Santos,76,82,11000000,23,171,62,84,66,79
Jonas Wind,76,82,12000000,23,190,82,66,74,74
Pape Gueye,76,82,11000000,23,187,79,63,48,70
Jonathan Burkardt,76,84,17000000,21,181,79,84,75,79
Diego Rossi,76,80,11000000,24,170,66,84,72,77
Hidemasa Morita,76,77,8500000,27,177,69,67,64,75
Stephen Antunes Eustáquio,76,82,10500000,25,178,67,66,61,72
Curtis Jones,76,84,17000000,21,185,75,68,68,80
Cheick Doucouré,76,78,10000000,22,180,73,68,57,76
Rayan Aït Nouri,76,86,16000000,21,180,70,77,44,76
Luis Romo,76,77,0,27,182,84,68,68,69
Enock Mwepu,76,82,12000000,24,184,76,82,75,75
Luca Pellegrini,76,82,11000000,23,178,72,84,54,75
Dwight McNeil,76,81,11500000,22,183,70,70,65,79
Alejandro Catena Marugán,76,78,8000000,27,194,82,66,39,50
Jovane Eduardo Borges Cabral,76,82,12000000,24,174,81,83,75,79
Arnaud Kalimuendo,76,82,12000000,20,175,79,81,75,77
Robin Zentner,76,78,7000000,27,194,96,77,73,81
Anton Stach,76,82,12000000,23,194,88,74,67,69
Christian Nørgaard,76,76,6500000,28,187,77,58,60,69
Franco Vázquez,76,76,4700000,33,187,82,46,78,77
Adam Webster,76,79,8500000,27,191,75,68,31,69
Roger Martí Salvador,76,76,6500000,31,179,74,74,78,74
Ryan Fraser,76,76,7500000,28,163,70,83,69,80
